,mean,mean,std,std
tipo_fondo,Cesantías,Pensiones,Cesantías,Pensiones
año,,,,
2016,26310.836868169397,33108.592216329154,2807.3317756684755,8818.777001070397
2017,28510.011516889725,37590.76096391443,3048.1225391722146,10027.431437092024
2018,29801.374965943494,40179.45055545173,3121.872509007456,10600.705392280392
2019,31432.27659609281,43791.17130600629,3529.0201612243827,11632.080410923796
2020,32492.776509888317,46098.89977431597,3735.1388079878534,12285.00210784437
2021,34269.77600342466,51317.52336825141,4245.0146956930585,13603.63489362944
2022,34381.16833561644,51017.697502014504,3870.410739357748,14042.594314698452
2023,37539.54465753425,56215.49889121676,4036.843804180281,15545.824200818324
2024,42468.896058743165,64273.854649630346,4584.607968914771,17749.041794555145
2025,45949.311605611845,70279.38019805613,4870.533521624479,19452.432784274177
